#Rev: sensefly/geoinfo/3
fileName	latitude	longitude	altitude_wgs84
IMG_0607.JPG	35.3273822695	139.8903165929	180.5621337891	
IMG_0608.JPG	35.3277922788	139.8901351967	182.6361694336	
IMG_0609.JPG	35.3282638377	139.8900043387	183.9222717285	
IMG_0610.JPG	35.3286996152	139.8898042985	186.4315490723	
IMG_0611.JPG	35.3292018427	139.8897135708	184.2427520752	
IMG_0612.JPG	35.3296199937	139.8895339517	182.1486816406	
IMG_0613.JPG	35.3300316506	139.8894292220	181.3574523926	
IMG_0614.JPG	35.3304490098	139.8892685504	179.6616210938	
IMG_0615.JPG	35.3308688351	139.8891303151	178.9809570312	
IMG_0616.JPG	35.3312460699	139.8890014549	179.8259429932	
IMG_0617.JPG	35.3316466419	139.8888514053	174.7341918945	
IMG_0618.JPG	35.3320609027	139.8887513117	170.2254638672	
IMG_0619.JPG	35.3324526280	139.8885623305	169.1457366943	
IMG_0620.JPG	35.3328594403	139.8884289208	169.1967010498	
IMG_0621.JPG	35.3332784890	139.8883504147	169.2913055420	
IMG_0622.JPG	35.3336881199	139.8881855146	169.3721313477	
IMG_0623.JPG	35.3340719475	139.8880330342	171.0343475342	
IMG_0624.JPG	35.3344888772	139.8878970510	170.5989685059	
IMG_0625.JPG	35.3348948713	139.8877894782	171.8361816406	
IMG_0626.JPG	35.3353061334	139.8876245399	170.5206146240	
IMG_0627.JPG	35.3357254182	139.8875139290	171.5404510498	
IMG_0628.JPG	35.3361275406	139.8873610188	172.5588684082	
IMG_0629.JPG	35.3365159843	139.8872156320	173.6753692627	
IMG_0630.JPG	35.3369062123	139.8870970225	175.1877136230	
IMG_0631.JPG	35.3373179865	139.8869873283	178.8684844971	
IMG_0632.JPG	35.3377113690	139.8868557997	180.8854675293	
IMG_0633.JPG	35.3381461375	139.8866779469	183.0368499756	
IMG_0634.JPG	35.3385895626	139.8865672616	178.7230987549	
IMG_0635.JPG	35.3389760164	139.8864241664	175.8531951904	
IMG_0636.JPG	35.3393751999	139.8862731668	173.7711944580	
IMG_0637.JPG	35.3397713809	139.8861445485	172.9379577637	
IMG_0638.JPG	35.3401884054	139.8860388870	173.5181579590	
IMG_0639.JPG	35.3402421749	139.8869226281	175.2563934326	
IMG_0640.JPG	35.3400644554	139.8874075705	178.4042968750	
